size,total_sqft,bath,price,site_location,bhk,price_per_sqft
4 Bedroom,2894.0,4.0,245.0,Alandi Road,4,8465.791292328957
3 BHK,1330.0,2.0,48.0,Ambegaon Budruk,3,3609.0225563909776
2 BHK,1200.0,2.0,65.0,Anandnagar,2,5416.666666666667
3 Bedroom,1200.0,3.0,90.0,Aundh,3,7500.0
3 BHK,2502.0,3.0,138.0,Aundh Road,3,5515.587529976019
2 BHK,650.0,1.0,17.0,Balaji Nagar,2,2615.3846153846152
3 Bedroom,2400.0,2.0,150.0,Baner,3,6250.0
2 BHK,1007.0,2.0,43.0,Baner road,2,4270.109235352532
2 BHK,1200.0,2.0,50.0,Bhandarkar Road,2,4166.666666666667
2 BHK,966.0,2.0,49.9,Bhavani Peth,2,5165.631469979296
3 BHK,1630.0,2.0,98.0,Bibvewadi,3,6012.269938650306
3 BHK,1640.0,3.0,229.0,Bopodi,3,13963.414634146342
2 BHK,782.0,2.0,55.68,Budhwar Peth,2,7120.204603580562
2 BHK,1260.0,2.0,66.78,Bund Garden Road,2,5300.0
3 BHK,1800.0,3.0,120.0,Camp,3,6666.666666666667
3 BHK,1413.0,2.0,75.0,Chandan Nagar,3,5307.855626326964
2 BHK,1116.0,2.0,51.91,Dapodi,2,4651.433691756272
3 BHK,1530.0,2.0,45.9,Deccan Gymkhana,3,3000.0
4 Bedroom,3700.0,4.0,225.0,Dehu Road,4,6081.081081081081
3 Bedroom,2497.0,3.0,140.0,Dhankawadi,3,5606.728073688426
3 BHK,1540.0,2.0,64.0,Dhayari Phata,3,4155.8441558441555
3 BHK,1436.0,3.0,74.75,Dhole Patil Road,3,5205.431754874652
2 BHK,1100.0,2.0,75.0,Erandwane,2,6818.181818181818
2 Bedroom,276.0,3.0,23.0,Fatima Nagar,2,8333.333333333334
3 BHK,1427.0,3.0,120.0,Fergusson College Road,3,8409.250175192712
3 BHK,2061.0,3.0,200.0,Ganesh Peth,3,9704.02717127608
4 BHK,5611.5,4.0,477.0,Ganeshkhind,4,8500.400962309543
4 BHK,2650.0,4.0,150.0,Ghorpade Peth,4,5660.377358490566
3 BHK,1282.0,2.0,68.52,Ghorpadi,3,5344.773790951638
2 BHK,1050.0,2.0,34.0,Gokhale Nagar,2,3238.095238095238
3 BHK,1600.0,3.0,65.0,Gultekdi,3,4062.5
2 BHK,945.0,2.0,54.0,Guruwar peth,2,5714.285714285715
2 BHK,1500.0,2.0,78.0,Hadapsar,2,5200.0
7 Bedroom,950.0,7.0,115.0,Hadapsar Industrial Estate,7,12105.263157894737
3 BHK,1870.0,3.0,110.0,Hingne Khurd,3,5882.35294117647
3 Bedroom,1600.0,3.0,75.0,Jangali Maharaj Road,3,4687.5
2 BHK,880.0,1.0,16.5,Kalyani Nagar,2,1875.0
4 Bedroom,1200.0,4.0,210.0,Karve Nagar,4,17500.0
3 BHK,1535.0,3.0,83.0,Karve Road,3,5407.166123778502
2 BHK,950.0,2.0,57.0,Kasba Peth,2,6000.0
2 BHK,1360.0,2.0,65.0,Katraj,2,4779.411764705882
2 BHK,1073.5,2.0,54.005,Khadaki,2,5030.740568234746
3 BHK,1280.0,3.0,50.4,Khadki,3,3937.5
3 BHK,1260.0,2.0,85.05,Kharadi,3,6750.0
8 Bedroom,5000.0,8.0,250.0,Kondhwa,8,5000.0
5 BHK,3050.0,5.0,213.0,Kondhwa Budruk,5,6983.606557377049
3 BHK,1563.05,3.0,105.0,Kondhwa Khurd,3,6717.635392341896
2 BHK,1000.0,2.0,60.0,Koregaon Park,2,6000.0
2 BHK,1167.0,2.0,43.76,Kothrud,2,3749.7857754927163
7 BHK,4000.0,7.0,225.0,Law College Road,7,5625.0
3 BHK,1828.0,3.0,110.0,Laxmi Road,3,6017.505470459519
2 BHK,890.0,2.0,35.0,Lulla Nagar,2,3932.5842696629215
3 BHK,1612.0,3.0,46.74,Mahatma Gandhi Road,3,2899.5037220843674
6 Bedroom,1034.0,5.0,185.0,Mangalwar peth,6,17891.682785299807
3 BHK,1710.0,4.0,91.31,Manik Bagh,3,5339.766081871345
2 BHK,957.0,2.0,58.0,Market yard,2,6060.606060606061
3 BHK,1250.0,2.0,44.0,Model colony,3,3520.0
3 BHK,2795.0,4.0,235.0,Mukund Nagar,3,8407.871198568873
2 BHK,1125.0,2.0,50.0,Mundhawa,2,4444.444444444444
2 BHK,1020.0,2.0,30.6,Nagar Road,2,3000.0
2 BHK,1200.0,2.0,50.0,Nana Peth,2,4166.666666666667
3 BHK,1735.0,3.0,135.0,Narayan Peth,3,7780.979827089337
3 BHK,2050.0,3.0,145.0,Narayangaon,3,7073.170731707317
4 Bedroom,3750.0,4.0,760.0,Navi Peth,4,20266.666666666668
3 BHK,1350.0,2.0,48.0,Padmavati,3,3555.5555555555557
2 BHK,1063.0,2.0,32.0,Parvati Darshan,2,3010.348071495767
3 BHK,1904.0,3.0,150.0,Pashan,3,7878.151260504202
4 Bedroom,4200.0,4.0,420.0,Paud Road,4,10000.0
3 BHK,2000.0,3.0,175.0,Pirangut,3,8750.0
2 BHK,1242.5,2.0,43.49,Prabhat Road,2,3500.201207243461
3 BHK,1425.0,2.0,75.0,Pune Railway Station,3,5263.1578947368425
3 BHK,1500.0,2.0,64.5,Rasta Peth,3,4300.0
2 BHK,1060.0,2.0,60.0,Raviwar Peth,2,5660.377358490566
3 BHK,1470.0,2.0,70.0,Sadashiv Peth,3,4761.9047619047615
6 BHK,1300.0,6.0,99.0,Sahakar Nagar,6,7615.384615384615
1 BHK,450.0,1.0,11.0,Salunke Vihar,1,2444.4444444444443
2 BHK,1152.0,2.0,64.5,Sasson Road,2,5598.958333333333
3 BHK,1350.0,2.0,56.0,Satara Road,3,4148.148148148148
3 BHK,1550.0,3.0,65.0,Senapati Bapat Road,3,4193.548387096775
3 Bedroom,1500.0,3.0,100.0,Shaniwar Peth,3,6666.666666666667
5 Bedroom,600.0,3.0,85.0,Shivaji Nagar,5,14166.666666666666
1 Bedroom,400.0,1.0,14.0,Shukrawar Peth,1,3500.0
1 BHK,705.0,1.0,67.0,Sinhagad Road,1,9503.54609929078
2 BHK,770.0,1.0,36.0,Somwar Peth,2,4675.324675324675
2 BHK,1242.0,2.0,51.0,Swargate,2,4106.280193236715
3 BHK,1700.0,3.0,155.0,Tilak Road,3,9117.64705882353
3 BHK,2144.0,3.0,145.0,Uruli Devachi,3,6763.059701492537
3 BHK,1704.0,3.0,110.0,Vadgaon Budruk,3,6455.399061032864
2 BHK,1070.0,2.0,52.0,Wadgaon Sheri,2,4859.813084112149
3 Bedroom,1846.0,3.0,300.0,Viman Nagar,3,16251.354279523293
2 BHK,1340.0,2.0,55.7,Vishrant Wadi,2,4156.7164179104475
2 BHK,1025.0,2.0,46.0,Wagholi,2,4487.804878048781
2 BHK,1277.5,2.0,56.8,Wakadewadi,2,4446.183953033268
2 BHK,1200.0,2.0,52.0,Wanowrie,2,4333.333333333333
4 Bedroom,2250.0,4.0,110.0,Warje,4,4888.888888888889
3 BHK,1550.0,2.0,80.0,Yerawada,3,5161.290322580645
4 Bedroom,1200.0,5.0,325.0,Alandi Road,4,27083.333333333332
7 Bedroom,1800.0,7.0,250.0,Ambegaon Budruk,7,13888.888888888889
2 BHK,1200.0,2.0,60.0,Anandnagar,2,5000.0
2 BHK,1327.0,2.0,98.0,Aundh,2,7385.079125847777
2 BHK,1186.0,2.0,58.0,Aundh Road,2,4890.387858347386
3 Bedroom,1783.0,3.0,115.0,Balaji Nagar,3,6449.8037016264725
3 BHK,1400.0,3.0,56.0,Baner,3,4000.0
2 BHK,980.0,2.0,48.0,Baner road,2,4897.959183673469
2 BHK,1285.0,2.0,82.0,Bhandarkar Road,2,6381.322957198444
3 BHK,912.0,2.0,70.0,Bhavani Peth,3,7675.438596491228
2 BHK,1225.0,2.0,47.6,Bibvewadi,2,3885.714285714286
2 BHK,1075.0,2.0,53.0,Bopodi,2,4930.232558139535
3 BHK,1260.0,2.0,54.0,Budhwar Peth,3,4285.714285714285
3 BHK,1282.0,2.0,48.7,Bund Garden Road,3,3798.751950078003
3 BHK,1909.0,3.0,88.0,Camp,3,4609.743321110529
2 BHK,1359.0,2.0,87.0,Chandan Nagar,2,6401.766004415011
2 BHK,1207.0,2.0,43.5,Dapodi,2,3603.976801988401
4 Bedroom,1736.0,6.0,190.0,Deccan Gymkhana,4,10944.700460829494
4 BHK,2850.0,4.0,428.0,Dehu Road,4,15017.543859649122
3 BHK,1595.0,3.0,65.0,Dhankawadi,3,4075.2351097178685
3 BHK,1798.0,3.0,89.0,Dhayari Phata,3,4949.944382647386
3 BHK,1475.0,3.0,78.29,Dhole Patil Road,3,5307.796610169492
3 BHK,1580.0,3.0,100.0,Erandwane,3,6329.113924050633
2 BHK,1295.0,2.0,65.0,Fatima Nagar,2,5019.305019305019
6 Bedroom,3600.0,6.0,141.0,Fergusson College Road,6,3916.6666666666665
1 BHK,589.0,1.0,27.0,Ganesh Peth,1,4584.040747028863
3 BHK,1415.0,3.0,78.0,Ganeshkhind,3,5512.367491166077
3 BHK,1787.0,3.0,98.29,Ghorpade Peth,3,5500.279798545048
3 BHK,1787.0,3.0,125.0,Ghorpadi,3,6994.963626189144
3 BHK,1475.0,2.0,90.0,Gokhale Nagar,3,6101.6949152542375
4 BHK,2000.0,4.0,75.5,Gultekdi,4,3775.0
2 BHK,984.0,2.0,44.28,Guruwar peth,2,4500.0
3 BHK,2405.0,4.0,260.0,Hadapsar Industrial Estate,3,10810.81081081081
2 BHK,1080.0,2.0,72.0,Hingne Khurd,2,6666.666666666667
2 Bedroom,1500.0,2.0,115.0,Jangali Maharaj Road,2,7666.666666666667
3 BHK,1900.0,3.0,119.0,Kalyani Nagar,3,6263.1578947368425
2 BHK,805.0,2.0,22.14,Karve Nagar,2,2750.3105590062114
2 BHK,1153.0,2.0,56.4,Karve Road,2,4891.587163920208
2 BHK,1148.0,2.0,60.0,Kasba Peth,2,5226.480836236934
2 BHK,1110.0,2.0,55.0,Katraj,2,4954.954954954955
2 BHK,1100.0,2.0,42.0,Khadaki,2,3818.181818181818
2 BHK,1290.0,2.0,110.0,Khadki,2,8527.131782945737
3 BHK,1500.0,2.0,65.0,Kharadi,3,4333.333333333333
2 BHK,1080.0,2.0,39.0,Kondhwa,2,3611.1111111111113
3 BHK,1933.0,3.0,129.0,Kondhwa Budruk,3,6673.564407656492
5 Bedroom,3500.0,5.0,150.0,Kondhwa Khurd,5,4285.714285714285
2 BHK,1060.0,2.0,60.0,Koregaon Park,2,5660.377358490566
1 BHK,645.0,1.0,16.45,Kothrud,1,2550.3875968992247
8 Bedroom,2600.0,8.0,180.0,Law College Road,8,6923.076923076923
1 BHK,645.0,1.0,16.45,Laxmi Road,1,2550.3875968992247
3 BHK,1644.0,3.0,84.0,Lulla Nagar,3,5109.489051094891
2 BHK,1285.0,2.0,72.5,Mahatma Gandhi Road,2,5642.023346303502
3 Bedroom,1200.0,3.0,90.0,Mangalwar peth,3,7500.0
2 BHK,910.0,2.0,40.0,Manik Bagh,2,4395.604395604396
3 BHK,1577.0,3.0,70.0,Market yard,3,4438.807863031072
3 Bedroom,4050.0,3.0,280.0,Model colony,3,6913.580246913581
3 BHK,2420.0,3.0,185.0,Mukund Nagar,3,7644.628099173554
2 BHK,800.0,1.0,20.0,Mundhawa,2,2500.0
2 BHK,1060.0,2.0,55.0,Nagar Road,2,5188.679245283019
2 BHK,1270.0,2.0,93.0,Nana Peth,2,7322.834645669292
2 BHK,900.0,2.0,22.5,Narayan Peth,2,2500.0
2 Bedroom,1280.0,2.0,69.0,Narayangaon,2,5390.625
4 Bedroom,1200.0,2.0,95.0,Navi Peth,4,7916.666666666667
2 BHK,1025.0,2.0,36.0,Padmavati,2,3512.1951219512193
2 BHK,1108.0,2.0,63.0,Parvati Darshan,2,5685.9205776173285
5 Bedroom,1200.0,5.0,170.0,Pashan,5,14166.666666666666
3 BHK,3045.0,3.0,170.0,Paud Road,3,5582.922824302134
4 Bedroom,2900.0,3.0,300.0,Pirangut,4,10344.827586206897
3 BHK,1500.0,3.0,75.5,Prabhat Road,3,5033.333333333333
2 BHK,1295.0,2.0,43.9,Pune Railway Station,2,3389.96138996139
2 BHK,1162.0,2.0,59.9,Rasta Peth,2,5154.9053356282275
2 BHK,1035.0,2.0,49.2,Raviwar Peth,2,4753.623188405797
4 Bedroom,1600.0,4.0,52.8,Sadashiv Peth,4,3300.0
3 BHK,1464.0,3.0,46.0,Sahakar Nagar,3,3142.0765027322404
3 BHK,1866.0,2.0,61.58,Salunke Vihar,3,3300.10718113612
2 BHK,700.0,1.0,26.0,Sasson Road,2,3714.285714285714
3 BHK,1804.0,3.0,120.0,Satara Road,3,6651.884700665189
2 BHK,913.0,2.0,32.0,Senapati Bapat Road,2,3504.9288061336256
3 BHK,1868.0,3.0,131.0,Shaniwar Peth,3,7012.847965738758
2 BHK,883.0,2.0,45.0,Shivaji Nagar,2,5096.262740656852
2 Bedroom,900.0,2.0,110.0,Shukrawar Peth,2,12222.222222222223
3 BHK,1664.0,2.0,73.95,Sinhagad Road,3,4444.110576923077
3 BHK,2026.0,3.0,132.0,Somwar Peth,3,6515.301085883514
2 BHK,1210.0,2.0,80.9,Swargate,2,6685.950413223141
4 Bedroom,4111.0,4.0,250.0,Tilak Road,4,6081.24543906592
3 BHK,1762.0,3.0,91.45,Uruli Devachi,3,5190.124858115778
3 BHK,1252.0,3.0,55.0,Vadgaon Budruk,3,4392.97124600639
2 BHK,861.0,2.0,34.5,Wadgaon Sheri,2,4006.968641114983
3 BHK,1420.0,2.0,100.0,Viman Nagar,3,7042.2535211267605
6 Bedroom,1450.0,6.0,250.0,Vishrant Wadi,6,17241.379310344826
3 BHK,1490.0,3.0,78.8,Wagholi,3,5288.5906040268455
3 BHK,1075.0,2.0,46.0,Wakadewadi,3,4279.069767441861
3 BHK,1425.0,2.0,94.0,Wanowrie,3,6596.491228070176
2 BHK,1200.0,2.0,40.0,Warje,2,3333.3333333333335
3 BHK,1280.0,2.0,56.0,Yerawada,3,4375.0
2 BHK,1084.0,2.0,50.0,Alandi Road,2,4612.546125461255
2 BHK,1015.0,2.0,25.88,Ambegaon Budruk,2,2549.753694581281
2 BHK,1017.0,2.0,51.25,Anandnagar,2,5039.331366764995
2 BHK,1027.0,2.0,44.0,Aundh,2,4284.323271665044
2 BHK,1069.0,2.0,45.0,Aundh Road,2,4209.541627689429
2 BHK,1349.0,2.0,98.2,Balaji Nagar,2,7279.466271312083
2 BHK,1005.0,2.0,50.0,Baner,2,4975.124378109453
2 BHK,1417.0,2.0,75.0,Baner road,2,5292.87226534933
3 Bedroom,1475.0,3.0,98.0,Bhandarkar Road,3,6644.067796610169
2 BHK,950.0,2.0,47.0,Bhavani Peth,2,4947.368421052632
4 BHK,2000.0,4.0,120.0,Bibvewadi,4,6000.0
3 Bedroom,880.0,3.0,140.0,Bopodi,3,15909.09090909091
4 BHK,1863.0,3.0,104.0,Budhwar Peth,4,5582.393988191089
2 BHK,1010.0,2.0,29.5,Bund Garden Road,2,2920.792079207921
3 BHK,1425.0,2.0,70.0,Camp,3,4912.2807017543855
3 BHK,1450.0,3.0,100.0,Chandan Nagar,3,6896.551724137931
3 BHK,1847.0,3.0,105.0,Dapodi,3,5684.89442338928
2 BHK,1100.0,2.0,45.0,Deccan Gymkhana,2,4090.909090909091
1 BHK,525.0,1.0,26.0,Dehu Road,1,4952.380952380952
3 BHK,1665.0,3.0,95.0,Dhankawadi,3,5705.705705705705
4 BHK,1664.0,4.0,65.0,Dhayari Phata,4,3906.25
3 BHK,1850.0,3.0,150.0,Dhole Patil Road,3,8108.108108108108
2 BHK,1438.0,2.0,100.0,Erandwane,2,6954.102920723227
3 BHK,1560.0,3.0,115.0,Fatima Nagar,3,7371.794871794872
2 BHK,1350.0,2.0,55.55,Fergusson College Road,2,4114.814814814815
3 BHK,1550.0,3.0,67.0,Ganesh Peth,3,4322.580645161291
2 BHK,1140.0,2.0,46.5,Ganeshkhind,2,4078.9473684210525
5 Bedroom,1200.0,5.0,180.0,Ghorpade Peth,5,15000.0
2 BHK,850.0,2.0,27.0,Ghorpadi,2,3176.470588235294
2 BHK,1280.0,2.0,75.0,Gokhale Nagar,2,5859.375
2 BHK,1170.0,2.0,52.0,Gultekdi,2,4444.444444444444
2 BHK,1113.0,2.0,51.0,Guruwar peth,2,4582.210242587601
2 BHK,1385.0,2.0,83.09,Hadapsar,2,5999.27797833935
2 BHK,1128.0,2.0,65.0,Hadapsar Industrial Estate,2,5762.41134751773
2 Bedroom,1200.0,2.0,128.0,Hingne Khurd,2,10666.666666666666
4 Bedroom,1200.0,4.0,165.0,Jangali Maharaj Road,4,13750.0
3 BHK,2390.0,3.0,415.0,Kalyani Nagar,3,17364.016736401674
4 Bedroom,2400.0,4.0,400.0,Karve Nagar,4,16666.666666666668
3 BHK,1464.0,3.0,56.0,Karve Road,3,3825.136612021858
2 BHK,1200.0,2.0,55.0,Kasba Peth,2,4583.333333333333
2 BHK,1200.0,2.0,52.0,Katraj,2,4333.333333333333
3 BHK,1150.0,2.0,55.0,Khadaki,3,4782.608695652174
3 BHK,1645.0,3.0,95.0,Khadki,3,5775.075987841945
2 BHK,1000.0,2.0,67.0,Kharadi,2,6700.0
4 Bedroom,2650.0,4.0,198.0,Kondhwa,4,7471.698113207547
2 BHK,1192.0,2.0,74.0,Kondhwa Budruk,2,6208.053691275168
3 BHK,2135.0,3.0,215.0,Kondhwa Khurd,3,10070.257611241217
2 BHK,1173.0,2.0,58.0,Koregaon Park,2,4944.58653026428
2 BHK,1020.0,2.0,45.0,Kothrud,2,4411.764705882353
4 BHK,3122.0,6.0,230.0,Law College Road,4,7367.072389493914
3 BHK,1600.0,3.0,64.0,Laxmi Road,3,4000.0
2 Bedroom,1200.0,2.0,79.0,Lulla Nagar,2,6583.333333333333
2 BHK,1230.0,2.0,48.0,Mahatma Gandhi Road,2,3902.439024390244
2 BHK,1250.0,2.0,40.0,Mangalwar peth,2,3200.0
2 BHK,1325.0,2.0,76.0,Manik Bagh,2,5735.8490566037735
3 BHK,1850.0,3.0,150.0,Market yard,3,8108.108108108108
2 BHK,1200.0,2.0,65.0,Mukund Nagar,2,5416.666666666667
3 Bedroom,1350.0,2.0,140.0,Mundhawa,3,10370.37037037037
3 BHK,1260.0,3.0,49.36,Nagar Road,3,3917.4603174603176
3 BHK,1800.0,3.0,150.0,Nana Peth,3,8333.333333333334
3 Bedroom,11.0,3.0,74.0,Narayan Peth,3,672727.2727272727
2 BHK,1100.0,2.0,43.25,Narayangaon,2,3931.818181818182
2 BHK,1508.0,2.0,77.0,Navi Peth,2,5106.100795755968
3 BHK,1592.0,3.0,75.0,Padmavati,3,4711.05527638191
2 BHK,1388.0,2.0,57.0,Parvati Darshan,2,4106.628242074928
1 BHK,630.0,1.0,28.35,Pashan,1,4500.0
3 Bedroom,2000.0,3.0,365.0,Paud Road,3,18250.0
3 BHK,1762.0,3.0,125.0,Pirangut,3,7094.211123723042
2 BHK,950.0,2.0,50.0,Prabhat Road,2,5263.1578947368425
4 BHK,3252.0,5.0,335.0,Pune Railway Station,4,10301.353013530135
2 BHK,1116.0,2.0,50.0,Rasta Peth,2,4480.286738351255
2 BHK,1308.0,2.0,89.04,Raviwar Peth,2,6807.339449541284
3 BHK,1200.0,3.0,90.0,Sadashiv Peth,3,7500.0
4 Bedroom,1500.0,4.0,230.0,Sahakar Nagar,4,15333.333333333334
1 BHK,500.0,1.0,18.5,Salunke Vihar,1,3700.0
2 BHK,1075.0,2.0,52.0,Sasson Road,2,4837.209302325581
1 BHK,530.0,1.0,11.66,Satara Road,1,2200.0
2 BHK,1205.0,2.0,66.0,Senapati Bapat Road,2,5477.178423236514
2 BHK,1075.0,2.0,60.0,Shaniwar Peth,2,5581.395348837209
2 BHK,930.0,2.0,39.0,Shivaji Nagar,2,4193.548387096775
2 BHK,1380.0,2.0,60.0,Shukrawar Peth,2,4347.826086956522
4 BHK,2483.0,5.0,212.0,Sinhagad Road,4,8538.058799838904
2 BHK,1166.0,2.0,55.0,Somwar Peth,2,4716.981132075472
2 BHK,1050.0,2.0,65.0,Swargate,2,6190.476190476191
3 BHK,2023.71,3.0,275.0,Tilak Road,3,13588.903548433324
2 BHK,1200.0,2.0,46.8,Uruli Devachi,2,3900.0
3 BHK,1600.0,2.0,108.0,Vadgaon Budruk,3,6750.0
3 BHK,1935.0,3.0,110.0,Wadgaon Sheri,3,5684.754521963824
1 BHK,451.0,1.0,29.9,Viman Nagar,1,6629.711751662971
3 BHK,1800.0,3.0,95.0,Vishrant Wadi,3,5277.777777777777
3 BHK,1400.0,3.0,77.0,Wagholi,3,5500.0
3 BHK,1801.0,3.0,115.0,Wakadewadi,3,6385.341476957246
2 BHK,1451.0,2.0,90.0,Wanowrie,2,6202.618883528601
